ad		date
10009                    201207251333       
10009                    201207251333       
10010                    201207251333       
10009                    201207251333       
10009                    201207251333       
10010                    201207251333       
10011                    201207251333
10010                    201207251745       
10011                    201207251745       
10012                    201207251745       
10012                    201207251745       
10011                    201207251745       
10011                    201207251745   
