ad		date
10009                    201207261333       
10009                    201207261333       
10010                    201207261333       
10009                    201207261333       
10009                    201207261333       
10010                    201207261333       
10011                    201207261333
10010                    201207261745       
10011                    201207261745       
10012                    201207261745       
10012                    201207261745       
10011                    201207261745       
10011                    201207261745   
